Code,Description,last_updated
101013,Neoplasm of anterior aspect of epiglottis,09-05-2025
101013,Neoplasm of anterior aspect of epiglottis,09-05-2025
102018,Neoplasm of junctional region of epiglottis,09-05-2025
102018,Neoplasm of junctional region of epiglottis,09-05-2025
103011,Neoplasm of lateral wall of oropharynx,09-05-2025
103011,Neoplasm of lateral wall of oropharynx,09-05-2025
104017,Neoplasm of posterior wall of oropharynx,09-05-2025
104017,Neoplasm of posterior wall of oropharynx,09-05-2025
105016,Neoplasm of esophagus,09-05-2025
105016,Neoplasm of esophagus,09-05-2025
106015,Neoplasm of cervical esophagus,09-05-2025
106015,Neoplasm of cervical esophagus,09-05-2025
107012,Neoplasm of thoracic esophagus,09-05-2025
107012,Neoplasm of thoracic esophagus,09-05-2025
108019,Neoplasm of abdominal esophagus,09-05-2025
108019,Neoplasm of abdominal esophagus,09-05-2025
110017,Neoplasm of middle third of esophagus,09-05-2025
110017,Neoplasm of middle third of esophagus,09-05-2025
111018,Neoplasm of lower third of esophagus,09-05-2025
111018,Neoplasm of lower third of esophagus,09-05-2025
112013,Neoplasm of stomach,09-05-2025
112013,Neoplasm of stomach,09-05-2025
113015,Neoplasm of cardia of stomach,09-05-2025
113015,Neoplasm of cardia of stomach,09-05-2025
114014,Neoplasm of fundus of stomach,09-05-2025
114014,Neoplasm of fundus of stomach,09-05-2025
115010,Neoplasm of body of stomach,09-05-2025
115010,Neoplasm of body of stomach,09-05-2025
116011,Neoplasm of lesser curvature of stomach,09-05-2025
116011,Neoplasm of lesser curvature of stomach,09-05-2025
117019,Neoplasm of greater curvature of stomach,09-05-2025
117019,Neoplasm of greater curvature of stomach,09-05-2025
118012,Neoplasm of pyloric antrum,09-05-2025
118012,Neoplasm of pyloric antrum,09-05-2025
119016,Neoplasm of pylorus,09-05-2025
119016,Neoplasm of pylorus,09-05-2025
120010,Neoplasm of small intestine,09-05-2025
120010,Neoplasm of small intestine,09-05-2025
121014,Neoplasm of duodenum,09-05-2025
121014,Neoplasm of duodenum,09-05-2025
122019,Neoplasm of jejunum,09-05-2025
122019,Neoplasm of jejunum,09-05-2025
123012,Neoplasm of ileum,09-05-2025
123012,Neoplasm of ileum,09-05-2025
124018,Neoplasm of Meckel's diverticulum,09-05-2025
125017,Neoplasm of large intestine,09-05-2025
125017,Neoplasm of large intestine,09-05-2025
126016,Neoplasm of colon,09-05-2025
126016,Neoplasm of colon,09-05-2025
127013,Neoplasm of cecum,09-05-2025
127013,Neoplasm of cecum,09-05-2025
128015,Neoplasm of ascending colon,09-05-2025
128015,Neoplasm of ascending colon,09-05-2025
129011,Neoplasm of hepatic flexure of colon,09-05-2025
129011,Neoplasm of hepatic flexure of colon,09-05-2025
130018,Neoplasm of transverse colon,09-05-2025
130018,Neoplasm of transverse colon,09-05-2025
131019,Neoplasm of splenic flexure of colon,09-05-2025
131019,Neoplasm of splenic flexure of colon,09-05-2025
132014,Neoplasm of descending colon,09-05-2025
132014,Neoplasm of descending colon,09-05-2025
133016,Neoplasm of sigmoid colon,09-05-2025
133016,Neoplasm of sigmoid colon,09-05-2025
134010,Neoplasm of appendix,09-05-2025
134010,Neoplasm of appendix,09-05-2025
135011,Neoplasm of rectum,09-05-2025
135011,Neoplasm of rectum,09-05-2025
136012,Neoplasm of rectosigmoid junction,09-05-2025
136012,Neoplasm of rectosigmoid junction,09-05-2025
137015,Neoplasm of anus,09-05-2025
137015,Neoplasm of anus,09-05-2025
138013,Neoplasm of anal canal,09-05-2025
138013,Neoplasm of anal canal,09-05-2025
139017,Neoplasm of liver,09-05-2025
139017,Neoplasm of liver,09-05-2025
140015,Neoplasm of intrahepatic bile ducts,09-05-2025
140015,Neoplasm of intrahepatic bile ducts,09-05-2025
141016,Neoplasm of biliary tract,09-05-2025
141016,Neoplasm of biliary tract,09-05-2025
142011,Neoplasm of gallbladder,09-05-2025
142011,Neoplasm of gallbladder,09-05-2025
143018,Neoplasm of extrahepatic bile ducts,09-05-2025
143018,Neoplasm of extrahepatic bile ducts,09-05-2025
144012,Neoplasm of cystic duct,09-05-2025
144012,Neoplasm of cystic duct,09-05-2025
145013,Neoplasm of common bile duct,09-05-2025
145013,Neoplasm of common bile duct,09-05-2025
146014,Neoplasm of ampulla of Vater,09-05-2025
147017,Neoplasm of pancreas,09-05-2025
147017,Neoplasm of pancreas,09-05-2025
148010,Neoplasm of head of pancreas,09-05-2025
148010,Neoplasm of head of pancreas,09-05-2025
149019,Neoplasm of body of pancreas,09-05-2025
149019,Neoplasm of body of pancreas,09-05-2025
150019,Neoplasm of tail of pancreas,09-05-2025
150019,Neoplasm of tail of pancreas,09-05-2025
151015,Neoplasm of pancreatic duct,09-05-2025
151015,Neoplasm of pancreatic duct,09-05-2025
152010,Neoplasm of islets of Langerhans,09-05-2025
153017,Neoplasm of the peritoneum,09-05-2025
153017,Neoplasm of the peritoneum,09-05-2025
154011,Neoplasm of parietal peritoneum,09-05-2025
154011,Neoplasm of parietal peritoneum,09-05-2025
155012,Neoplasm of pelvic peritoneum,09-05-2025
155012,Neoplasm of pelvic peritoneum,09-05-2025
156013,Neoplasm of rectouterine pouch,09-05-2025
156013,Neoplasm of rectouterine pouch,09-05-2025
157016,Neoplasm of the mesentery,09-05-2025
157016,Neoplasm of the mesentery,09-05-2025
158014,Neoplasm of the mesocolon,09-05-2025
158014,Neoplasm of the mesocolon,09-05-2025
159018,Neoplasm of the omentum,09-05-2025
159018,Neoplasm of the omentum,09-05-2025
160011,Neoplasm of the retroperitoneum,09-05-2025
160011,Neoplasm of the retroperitoneum,09-05-2025
161010,Neoplasm of periadrenal tissue,09-05-2025
161010,Neoplasm of periadrenal tissue,09-05-2025
162015,Neoplasm of perirenal tissue,09-05-2025
162015,Neoplasm of perirenal tissue,09-05-2025
163013,Neoplasm of retrocecal tissue,09-05-2025
163013,Neoplasm of retrocecal tissue,09-05-2025
164019,Neoplasm of mesothelial tissue of peritoneum,09-05-2025
164019,Neoplasm of mesothelial tissue of peritoneum,09-05-2025
